event_id,roi_ustrip_min,roi_ustrip_max,roi_vstrip_min,roi_vstrip_max,roi_u_size,roi_v_size,roi_uv_size_sum,roi_2d_size,roi_max_width,ML_success,CURRENT_success
8729,3113.0,3263.0,2749.0,2961.0,151.0,213.0,364.0,32163.0,213.0,True,False
8730,2730.0,2880.0,2104.0,2317.0,151.0,214.0,365.0,32314.0,214.0,True,True
8736,2817.0,2967.0,2171.0,2383.0,151.0,213.0,364.0,32163.0,213.0,False,False
8737,2819.0,2969.0,2134.0,2346.0,151.0,213.0,364.0,32163.0,213.0,True,False
8739,1332.0,1482.0,1064.0,1276.0,151.0,213.0,364.0,32163.0,213.0,True,True
8745,1047.0,1197.0,1066.0,1278.0,151.0,213.0,364.0,32163.0,213.0,True,False
8749,3194.0,3344.0,2330.0,2542.0,151.0,213.0,364.0,32163.0,213.0,False,False
8751,3458.0,3608.0,2496.0,2708.0,151.0,213.0,364.0,32163.0,213.0,True,False
8754,2034.0,2186.0,1854.0,2329.0,153.0,476.0,629.0,72828.0,476.0,True,True
8755,1185.0,1431.0,1283.0,1828.0,247.0,546.0,793.0,134862.0,546.0,True,False
8761,2175.0,2325.0,2015.0,2227.0,151.0,213.0,364.0,32163.0,213.0,False,False
8762,1087.0,1358.0,944.0,1539.0,272.0,596.0,868.0,162112.0,596.0,True,True
8763,2166.0,2316.0,2054.0,2266.0,151.0,213.0,364.0,32163.0,213.0,False,False
8768,803.0,1117.0,582.0,1228.0,315.0,647.0,962.0,203805.0,647.0,True,True
8775,2012.0,2162.0,1952.0,2165.0,151.0,214.0,365.0,32314.0,214.0,False,False
8776,714.0,1014.0,964.0,1547.0,301.0,584.0,885.0,175784.0,584.0,True,True
8778,2964.0,3114.0,2510.0,2722.0,151.0,213.0,364.0,32163.0,213.0,True,True
8779,914.0,1195.0,1036.0,1613.0,282.0,578.0,860.0,162996.0,578.0,True,True
8782,2327.0,2477.0,2100.0,2313.0,151.0,214.0,365.0,32314.0,214.0,True,True
8783,1479.0,1629.0,1211.0,1423.0,151.0,213.0,364.0,32163.0,213.0,True,True
8785,1578.0,1728.0,1588.0,1800.0,151.0,213.0,364.0,32163.0,213.0,True,True
8790,1450.0,1600.0,1471.0,1683.0,151.0,213.0,364.0,32163.0,213.0,False,False
8795,992.0,1142.0,1106.0,1318.0,151.0,213.0,364.0,32163.0,213.0,True,False
8798,3297.0,3447.0,2442.0,2655.0,151.0,214.0,365.0,32314.0,214.0,True,False
8801,1804.0,1954.0,1560.0,1772.0,151.0,213.0,364.0,32163.0,213.0,True,True
8804,2789.0,2939.0,2178.0,2390.0,151.0,213.0,364.0,32163.0,213.0,True,True
8808,2976.0,3126.0,2496.0,2708.0,151.0,213.0,364.0,32163.0,213.0,True,True
8811,1052.0,1202.0,1335.0,1547.0,151.0,213.0,364.0,32163.0,213.0,True,False
8817,3097.0,3247.0,2568.0,2781.0,151.0,214.0,365.0,32314.0,214.0,True,True
