event_id blob_id cy cx iy ix y_strip x_strip area real_area
155 0 55.500000 60.000000 56 60 2491 2957 12 12
156 0 47.500000 23.500000 48 24 2207 3101 4 4
156 1 107.000000 23.000000 107 23 2344 3100 1 1
157 0 70.285714 11.142857 70 11 3054 3573 7 7
158 0 7.000000 25.500000 7 26 3109 3594 6 6
159 0 29.500000 64.000000 30 64 1225 1205 12 12
160 0 9.000000 34.500000 9 34 2586 2912 6 6
160 1 8.500000 45.500000 8 46 2585 2939 2 2
160 2 45.333333 26.000000 45 26 2667 2904 3 3
160 3 45.500000 34.000000 46 34 2668 2912 6 6
160 4 45.500000 45.500000 46 46 2668 2939 8 8
161 0 59.000000 71.000000 59 71 1285 1145 55 55
162 0 67.500000 46.500000 68 46 832 594 32 32
163 0 80.000000 25.000000 80 25 950 847 9 9
164 0 26.000000 38.000000 26 38 829 1075 21 21
165 0 22.500000 48.000000 22 48 1955 2450 2 2
165 1 22.500000 70.500000 22 70 1955 2477 4 4
165 2 25.000000 57.000000 25 57 1958 2459 9 9
165 3 73.500000 48.000000 74 48 2018 2450 2 2
165 4 73.000000 57.000000 73 57 2017 2459 1 1
165 5 73.000000 71.000000 73 71 2017 2478 1 1
165 6 105.000000 48.000000 105 48 2055 2450 1 1
166 0 54.000000 13.500000 54 14 2036 2345 6 6
167 0 4.000000 10.000000 4 10 1835 1770 1 1
167 1 10.000000 24.000000 10 24 1841 1802 1 1
167 2 40.243902 36.560976 40 37 1924 1834 41 41
167 3 67.500000 29.000000 68 29 1959 1808 2 2
168 0 65.000000 25.500000 65 26 1364 1673 20 20
169 0 15.000000 9.500000 15 10 1390 1856 6 6
170 0 118.111111 40.444444 118 40 1816 2316 27 27
171 0 69.000000 55.000000 69 55 2643 2856 1 1
171 1 77.494845 64.360825 77 64 2652 2888 97 97
171 2 78.240000 91.360000 78 91 2653 2967 25 25
171 3 75.000000 91.000000 75 91 2650 2967 1 1
171 4 107.000000 55.000000 107 55 2701 2856 1 1
171 5 109.800000 55.400000 110 55 2704 2856 5 5
172 0 88.500000 44.000000 88 44 1839 2426 6 6
172 1 91.000000 44.000000 91 44 1844 2426 1 1
173 0 44.666667 31.666667 45 32 2132 2340 3 3
173 1 53.000000 31.500000 53 32 2144 2340 6 6
174 0 46.000000 54.500000 46 54 1147 1118 60 60
175 0 20.500000 12.500000 20 12 1599 1802 24 24
176 0 32.500000 6.000000 32 6 2962 3365 2 2
177 0 70.272727 32.090909 70 32 1974 1957 22 22
177 1 69.400000 24.200000 69 24 1973 1941 5 5
178 0 52.000000 33.500000 52 34 2539 3033 30 30
179 0 48.000000 0.500000 48 0 1880 2179 6 6
180 0 26.605263 42.000000 27 42 1913 2069 38 38
181 0 34.000000 32.000000 34 32 1044 914 15 15
182 0 81.000000 27.000000 81 27 1848 2323 1 1
183 0 43.500000 10.500000 44 10 2778 3340 16 16
184 0 28.500000 35.500000 28 36 2811 3287 4 4
185 0 103.550000 114.250000 104 114 3036 3785 20 20
186 0 35.000000 34.500000 35 34 2586 3155 12 12
187 0 33.000000 42.500000 33 42 3197 3562 6 6
188 0 19.388889 6.777778 19 7 1904 2387 18 18
189 0 50.059524 59.380952 50 59 1211 1055 84 84
190 0 32.500000 55.000000 32 55 2720 3588 12 12
191 0 35.000000 30.000000 35 30 1769 2226 9 9
192 0 2.000000 8.000000 2 8 880 865 1 1
192 1 29.400000 7.600000 29 8 956 865 15 15
192 2 30.000000 38.000000 30 38 957 902 1 1
193 0 50.000000 81.000000 50 81 3107 3830 15 15
194 0 20.000000 30.000000 20 30 1948 2138 1 1
194 1 38.000000 30.000000 38 30 1987 2138 1 1
194 2 44.666667 30.444444 45 30 1994 2138 9 9
194 3 80.000000 30.000000 80 30 2032 2138 9 9
195 0 43.088235 49.941176 43 50 2229 3068 34 34
196 0 39.000000 33.000000 39 33 1381 1616 1 1
196 1 47.000000 33.000000 47 33 1390 1616 9 9
197 0 16.916667 28.916667 17 29 2070 2498 24 24
