event_id blob_id cy cx iy ix y_strip x_strip area real_area
143 1 86.000000 23.500000 86 24 2357 3255 6 6
144 0 1.000000 17.500000 1 18 2210 2596 12 12
144 1 76.500000 12.000000 76 12 2335 2557 2 2
145 0 57.333333 23.111111 57 23 1743 1780 9 9
146 0 42.000000 32.000000 42 32 2200 2212 1 1
146 1 58.200000 10.100000 58 10 2247 2146 10 10
146 2 65.000000 32.000000 65 32 2258 2212 1 1
147 0 21.500000 12.000000 22 12 2089 2887 2 2
147 1 62.500000 12.000000 62 12 2152 2887 2 2
147 2 84.000000 12.000000 84 12 2224 2887 1 1
148 0 58.500000 45.000000 58 45 2023 2472 20 20
150 0 29.000000 13.000000 29 13 2886 3381 9 9
151 0 47.428571 24.119048 47 24 1810 2024 42 42
152 0 43.363636 35.590909 43 36 2526 3008 22 22
153 0 118.500000 48.500000 118 48 743 544 4 4
154 0 144.000000 39.500000 144 40 846 381 6 6
154 1 144.400000 94.400000 144 94 846 528 15 15
154 2 164.076923 32.884615 164 33 871 358 26 26
154 3 163.863636 94.727273 164 95 871 529 22 22
154 4 163.500000 39.500000 164 40 871 381 4 4
154 5 196.000000 94.000000 196 94 913 528 1 1
155 0 47.800000 26.960000 48 27 2836 3397 25 25
156 0 40.000000 20.000000 40 20 1554 1696 1 1
156 1 75.000000 19.000000 75 19 1601 1694 1 1
156 2 75.000000 33.000000 75 33 1601 1718 1 1
156 3 121.500000 19.500000 122 20 1701 1696 4 4
156 4 122.000000 32.000000 122 32 1701 1717 1 1
157 0 39.000000 5.000000 39 5 1814 1670 1 1
157 1 75.000000 13.500000 75 14 1861 1719 56 56
158 0 33.500000 23.500000 34 24 2767 3046 48 48
159 0 71.200000 13.600000 71 14 2109 2394 5 5
159 1 83.500000 14.000000 84 14 2129 2394 2 2
160 0 38.500000 60.000000 38 60 2808 3218 10 10
161 0 60.666667 21.666667 61 22 2658 3289 3 3
161 1 91.000000 21.000000 91 21 2693 3288 1 1
161 2 131.000000 21.500000 131 22 2739 3289 12 12
162 0 97.000000 45.000000 97 45 2099 2717 3 3
162 1 97.000000 61.000000 97 61 2099 2733 3 3
162 2 97.000000 97.000000 97 97 2099 2789 1 1
162 3 97.000000 113.000000 97 113 2099 2816 1 1
162 4 97.000000 129.000000 97 129 2099 2856 1 1
162 5 147.000000 61.000000 147 61 2166 2733 1 1
162 6 153.000000 61.000000 153 61 2172 2733 1 1
162 7 171.000000 113.000000 171 113 2195 2816 1 1
163 0 82.500000 49.500000 82 50 1737 1831 16 16
164 0 61.000000 41.000000 61 41 1943 2474 1 1
165 0 55.000000 19.500000 55 20 1335 1300 12 12
166 0 18.500000 23.500000 18 24 1659 1952 24 24
168 0 94.000000 38.500000 94 38 1686 1462 30 30
170 0 78.500000 24.500000 78 24 1473 1885 16 16
171 0 56.500000 23.000000 56 23 2871 3060 2 2
171 1 82.500000 23.000000 82 23 2951 3060 2 2
171 2 97.000000 23.000000 97 23 2974 3060 1 1
172 0 117.000000 10.000000 117 10 2119 2547 9 9
173 0 15.000000 25.000000 15 25 2649 3251 1 1
173 1 32.000000 2.000000 32 2 2680 3218 1 1
173 2 32.000000 12.000000 32 12 2680 3228 1 1
173 3 50.000000 40.000000 50 40 2696 3278 1 1
173 4 65.000000 39.000000 65 39 2725 3277 1 1
174 0 49.500000 25.500000 50 26 2422 2836 4 4
175 0 47.200000 21.000000 47 21 1885 2445 10 10
175 1 47.500000 40.000000 48 40 1886 2491 20 20
176 0 55.500000 60.000000 56 60 2491 2957 12 12
177 0 47.500000 23.500000 48 24 2207 3101 4 4
177 1 107.000000 23.000000 107 23 2344 3100 1 1
178 0 70.285714 11.142857 70 11 3054 3573 7 7
179 0 7.000000 25.500000 7 26 3109 3594 6 6
180 0 29.500000 64.000000 30 64 1225 1205 12 12
181 0 9.000000 34.500000 9 34 2586 2912 6 6
181 1 8.500000 45.500000 8 46 2585 2939 2 2
181 2 45.333333 26.000000 45 26 2667 2904 3 3
181 3 45.500000 34.000000 46 34 2668 2912 6 6
181 4 45.500000 45.500000 46 46 2668 2939 8 8
182 0 59.000000 71.000000 59 71 1285 1145 55 55
183 0 67.500000 46.500000 68 46 832 594 32 32
184 0 80.000000 25.000000 80 25 950 847 9 9
185 0 26.000000 38.000000 26 38 829 1075 21 21
186 0 22.500000 48.000000 22 48 1955 2450 2 2
186 1 22.500000 70.500000 22 70 1955 2477 4 4
186 2 25.000000 57.000000 25 57 1958 2459 9 9
186 3 73.500000 48.000000 74 48 2018 2450 2 2
186 4 73.000000 57.000000 73 57 2017 2459 1 1
186 5 73.000000 71.000000 73 71 2017 2478 1 1
186 6 105.000000 48.000000 105 48 2055 2450 1 1
187 0 111.680000 7.920000 112 8 1667 1465 75 75
187 1 171.000000 37.500000 171 38 1749 1498 2 2
188 0 54.000000 13.500000 54 14 2036 2345 6 6
189 0 4.000000 10.000000 4 10 1835 1770 1 1
189 1 10.000000 24.000000 10 24 1841 1802 1 1
189 2 40.243902 36.560976 40 37 1924 1834 41 41
189 3 67.500000 29.000000 68 29 1959 1808 2 2
190 0 65.000000 25.500000 65 26 1364 1673 20 20
191 0 15.000000 9.500000 15 10 1390 1856 6 6
192 0 118.111111 40.444444 118 40 1816 2316 27 27
193 0 69.000000 55.000000 69 55 2643 2856 1 1
193 1 77.494845 64.360825 77 64 2652 2888 97 97
193 2 78.291667 91.416667 78 91 2653 2967 24 24
193 3 75.000000 91.000000 75 91 2650 2967 1 1
193 4 107.000000 55.000000 107 55 2701 2856 1 1
193 5 109.800000 55.400000 110 55 2704 2856 5 5
194 0 88.500000 44.000000 88 44 1839 2426 6 6
194 1 91.000000 44.000000 91 44 1844 2426 1 1
195 0 155.090909 79.181818 155 79 814 812 33 33
196 0 44.666667 31.666667 45 32 2132 2340 3 3
196 1 53.000000 31.500000 53 32 2144 2340 6 6
197 0 46.000000 54.500000 46 54 1147 1118 60 60
198 0 56.000000 24.500000 56 24 701 831 12 12
199 0 20.500000 12.500000 20 12 1599 1802 24 24
200 0 32.500000 6.000000 32 6 2962 3365 2 2
201 0 70.272727 32.090909 70 32 1974 1957 22 22
201 1 69.400000 24.200000 69 24 1973 1941 5 5
202 0 52.000000 33.500000 52 34 2539 3033 30 30
203 0 48.000000 0.500000 48 0 1880 2179 6 6
204 0 26.605263 42.000000 27 42 1913 2069 38 38
205 0 34.000000 32.000000 34 32 1044 914 15 15
206 0 81.000000 27.000000 81 27 1848 2323 1 1
207 0 43.500000 10.500000 44 10 2778 3340 16 16
208 0 28.500000 35.500000 28 36 2811 3287 4 4
209 0 103.550000 114.250000 104 114 3036 3785 20 20
210 0 35.000000 34.500000 35 34 2586 3155 12 12
211 0 57.833333 40.666667 58 41 1142 943 6 6
211 1 146.000000 40.000000 146 40 1354 942 1 1
212 0 75.000000 47.000000 75 47 1019 1114 3 3
212 1 109.000000 47.000000 109 47 1094 1114 1 1
212 2 109.000000 53.000000 109 53 1094 1120 1 1
212 3 179.062500 86.750000 179 87 1203 1234 32 32
213 0 33.000000 42.500000 33 42 3197 3562 6 6
214 0 19.388889 6.777778 19 7 1904 2387 18 18
215 0 50.059524 59.380952 50 59 1211 1055 84 84
216 0 32.500000 55.000000 32 55 2720 3588 12 12
