Event_ID	2D_hit_ID	Hit_center_U_strip_ID	Hit_center_V_strip_ID
42	37	3280	2930
42	38	3280	2959.5
42	39	3346.5	2879.5
42	40	3346.5	2895.5
42	41	3346.5	2926
42	42	3346.5	2930
42	43	3346.5	2959.5
43	0	2343	2124.5
43	1	2343	2152.5
43	2	2343	2227.5
43	3	2392	2227.5
43	4	2392	2233.5
43	5	2392	2235
43	6	2392	2257
43	7	2392	2262.5
43	8	2423	2227.5
43	9	2423	2233.5
43	10	2423	2235
43	11	2423	2257
43	12	2423	2262.5
43	13	2423	2274
43	14	2449	2227.5
43	15	2449	2233.5
43	16	2449	2235
43	17	2449	2257
43	18	2449	2262.5
43	19	2449	2274
43	20	2465	2227.5
43	21	2465	2233.5
43	22	2465	2235
43	23	2465	2257
43	24	2465	2262.5
43	25	2465	2274
43	26	2479	2227.5
43	27	2479	2233.5
43	28	2479	2235
43	29	2479	2257
43	30	2479	2262.5
43	31	2479	2274
44	0	1495	1591
44	1	1495	1602.5
44	2	1495	1613.5
44	3	1495	1623
44	4	1495	1634
44	5	1495	1662
44	6	1495	1667
44	7	1528	1602.5
44	8	1528	1613.5
44	9	1528	1623
44	10	1528	1634
44	11	1528	1662
44	12	1528	1667
44	13	1528	1694
44	14	1543	1613.5
44	15	1543	1623
44	16	1543	1634
44	17	1543	1662
44	18	1543	1667
44	19	1543	1694
44	20	1543.5	1613.5
44	21	1543.5	1623
44	22	1543.5	1634
44	23	1543.5	1662
44	24	1543.5	1667
44	25	1543.5	1694
44	26	1608.5	1662
44	27	1608.5	1667
44	28	1608.5	1694
44	29	1608.5	1719.5
44	30	1608.5	1719.5
44	31	1608.5	1751.5
45	0	1540	1240
45	1	1540	1250
45	2	1540	1279.5
45	3	1540	1282
45	4	1540	1323
45	5	1556	1250
45	6	1556	1279.5
45	7	1556	1282
45	8	1556	1323
46	0	2108.5	1885.5
46	1	2108.5	1912
47	0	1468	1389
47	1	1468	1397
47	2	1468	1434.5
47	3	1528.5	1389
47	4	1528.5	1397
47	5	1528.5	1434.5
47	6	1528.5	1457
47	7	1532.5	1389
47	8	1532.5	1397
47	9	1532.5	1434.5
47	10	1532.5	1457
47	11	1532.5	1489.5
47	12	1582.5	1434.5
47	13	1582.5	1457
47	14	1582.5	1489.5
47	15	1582.5	1519.5
47	16	1596.5	1434.5
47	17	1596.5	1457
47	18	1596.5	1489.5
47	19	1596.5	1519.5
47	20	1599.5	1434.5
47	21	1599.5	1457
47	22	1599.5	1489.5
47	23	1599.5	1519.5
47	24	1599.5	1534
48	0	2338.5	1812
48	1	2338.5	1844
48	2	2338.5	1863
48	3	2338.5	1877.5
48	4	2338.5	1893.5
48	5	2338.5	1895
48	6	2361.5	1812
48	7	2361.5	1844
48	8	2361.5	1863
48	9	2361.5	1877.5
48	10	2361.5	1893.5
48	11	2361.5	1895
48	12	2361.5	1896.5
48	13	2361.5	1901
48	14	2397	1844
48	15	2397	1863
48	16	2397	1877.5
48	17	2397	1893.5
48	18	2397	1895
48	19	2397	1896.5
48	20	2397	1901
48	21	2397	1932
49	0	3573.5	3101.5
49	1	3573.5	3142.5
49	2	3578.5	3101.5
49	3	3578.5	3142.5
50	0	1486	1203
50	1	1486	1206
50	2	1486	1215
50	3	1486	1239.5
50	4	1486	1252.5
50	5	1486	1266
50	6	1486	1271
50	7	1486	1287
50	8	1500.5	1215
50	9	1500.5	1239.5
50	10	1500.5	1252.5
50	11	1500.5	1266
50	12	1500.5	1271
50	13	1500.5	1287
50	14	1513	1239.5
50	15	1513	1252.5
50	16	1513	1266
50	17	1513	1271
50	18	1513	1287
50	19	1574.5	1266
50	20	1574.5	1271
50	21	1574.5	1287
51	0	853.5	934.5
51	1	853.5	983
51	2	892	934.5
51	3	892	983
52	0	1964	1696.5
52	1	1964	1716
52	2	1964	1720.5
52	3	1964	1782
52	4	1964	1783
53	0	1308.5	1549
53	1	1348.5	1549
53	2	1348.5	1621.5
53	3	1367.5	1621.5
53	4	1367.5	1653.5
53	5	1433	1621.5
53	6	1433	1653.5
54	0	1339.5	933
54	1	1339.5	966
54	2	1361	966
54	3	1361	1034.5
54	4	1361	1038.5
54	5	1388	966
54	6	1388	1034.5
54	7	1388	1038.5
54	8	1393	966
54	9	1393	1034.5
54	10	1393	1038.5
54	11	1410	1034.5
54	12	1410	1038.5
54	13	1411	1034.5
54	14	1411	1038.5
54	15	1417.5	1034.5
54	16	1417.5	1038.5
54	17	1474.5	1034.5
54	18	1474.5	1038.5
55	0	1941	1628.5
55	1	1941	1634
55	2	1941	1641.5
55	3	1941	1657
55	4	1941	1672.5
55	5	1941	1689
55	6	1941	1703
55	7	1941	1714.5
55	8	1968	1657
55	9	1968	1672.5
55	10	1968	1689
55	11	1968	1703
55	12	1968	1714.5
55	13	1970.5	1657
55	14	1970.5	1672.5
55	15	1970.5	1689
55	16	1970.5	1703
55	17	1970.5	1714.5
55	18	2004	1672.5
55	19	2004	1689
55	20	2004	1703
55	21	2004	1714.5
56	0	1851	1411.5
56	1	1851	1427.5
56	2	1897	1540
56	3	1901	1540
56	4	1929	1540
56	5	1929	1558.5
56	6	1952.5	1540
56	7	1952.5	1558.5
56	8	1952.5	1573.5
56	9	1952.5	1579.5
56	10	1952.5	1581.5
56	11	1952.5	1583
57	0	1429	1069
57	1	1429	1136
57	2	1455.5	1069
57	3	1455.5	1136
57	4	1455.5	1150.5
57	5	1493.5	1136
57	6	1493.5	1150.5
57	7	1493.5	1166.5
57	8	1493.5	1179.5
57	9	1499.5	1136
57	10	1499.5	1150.5
57	11	1499.5	1166.5
57	12	1499.5	1179.5
57	13	1531	1136
57	14	1531	1150.5
57	15	1531	1166.5
57	16	1531	1179.5
57	17	1531	1201.5
57	18	1545.5	1136
57	19	1545.5	1150.5
57	20	1545.5	1166.5
57	21	1545.5	1179.5
57	22	1545.5	1201.5
57	23	1545.5	1220
57	24	1562.5	1136
57	25	1562.5	1150.5
57	26	1562.5	1166.5
57	27	1562.5	1179.5
57	28	1562.5	1201.5
57	29	1562.5	1220
57	30	1562.5	1230
57	31	1562.5	1239
57	32	1563.5	1136
57	33	1563.5	1150.5
57	34	1563.5	1166.5
57	35	1563.5	1179.5
57	36	1563.5	1201.5
57	37	1563.5	1220
57	38	1563.5	1230
57	39	1563.5	1239
58	0	1630	1727
58	1	1630	1756
58	2	1630	1778
58	3	1657.5	1727
58	4	1657.5	1756
58	5	1657.5	1778
58	6	1657.5	1788.5
58	7	1665.5	1727
58	8	1665.5	1756
58	9	1665.5	1778
58	10	1665.5	1788.5
58	11	1689.5	1727
58	12	1689.5	1756
58	13	1689.5	1778
58	14	1689.5	1788.5
59	0	2352	2024
59	1	2352	2043
59	2	2352	2072
59	3	2363	2024
59	4	2363	2043
59	5	2363	2072
59	6	2366.5	2043
59	7	2366.5	2072
59	8	2380	2043
59	9	2380	2072
59	10	2380	2137.5
59	11	2385	2043
59	12	2385	2072
59	13	2385	2137.5
59	14	2389.5	2043
59	15	2389.5	2072
59	16	2389.5	2137.5
59	17	2389.5	2148
59	18	2390.5	2072
59	19	2390.5	2137.5
59	20	2390.5	2148
59	21	2402	2072
59	22	2402	2137.5
59	23	2402	2148
60	0	3335.5	2834
60	1	3335.5	2848
60	2	3335.5	2865
60	3	3335.5	2885.5
60	4	3335.5	2918.5
60	5	3369	2865
60	6	3369	2885.5
60	7	3369	2918.5
60	8	3458.5	2918.5
60	9	3458.5	2960
60	10	3458.5	2990
61	0	1340.5	1609
61	1	1340.5	1635
61	2	1345	1609
61	3	1345	1635
61	4	1363	1609
61	5	1363	1635
61	6	1363	1639.5
61	7	1378	1609
61	8	1378	1635
61	9	1378	1639.5
61	10	1395.5	1609
61	11	1395.5	1635
61	12	1395.5	1639.5
61	13	1395.5	1670.5
61	14	1410	1635
61	15	1410	1639.5
61	16	1410	1670.5
61	17	1410	1635
61	18	1410	1639.5
61	19	1410	1670.5
61	20	1456.5	1670.5
61	21	1456.5	1687
61	22	1456.5	1715
62	0	2453.5	2012.5
62	1	2453.5	2024
62	2	2453.5	2055
62	3	2494.5	2012.5
62	4	2494.5	2024
62	5	2494.5	2055
62	6	2494.5	2095
62	7	2494.5	2112.5
63	0	634.5	604
64	0	2065	1516
64	1	2065	1555
64	2	2098	1516
64	3	2098	1555
64	4	2195.5	1615.5
65	0	3087	2583.5
65	1	3087	2600
65	2	3087	2605
65	3	3087	2655
65	4	3087	2668
65	5	3087	2686
65	6	3129	2655
65	7	3129	2668
65	8	3129	2686
65	9	3195	2668
65	10	3195	2686
66	0	3307	2829
66	1	3307	2834
66	2	3307	2903.5
66	3	3307	2933
66	4	3335.5	2903.5
66	5	3335.5	2933
66	6	3335.5	2935
66	7	3397	2903.5
66	8	3397	2933
66	9	3397	2935
67	0	1318.5	1466.5
67	1	1318.5	1477
67	2	1318.5	1509
67	3	1318.5	1525
67	4	1336	1466.5
67	5	1336	1477
67	6	1336	1509
67	7	1336	1525
67	8	1336	1566
67	9	1360	1509
67	10	1360	1525
67	11	1360	1566
67	12	1360	1573
67	13	1368.5	1509
67	14	1368.5	1525
67	15	1368.5	1566
67	16	1368.5	1573
68	0	2075	1885
68	1	2075	1929.5
68	2	2151.5	1885
68	3	2151.5	1903.5
68	4	2151.5	1913
68	5	2151.5	1929.5
68	6	2151.5	1940
68	7	2151.5	1961
68	8	2151.5	1969
68	9	2151.5	1986.5
69	0	3037	2753
69	1	3037	2792.5
69	2	3037	2818
69	3	3093.5	2792.5
69	4	3093.5	2818
69	5	3093.5	2849.5
69	6	3093.5	2853
70	0	2189.5	1845
70	1	2189.5	1890.5
70	2	2189.5	1922.5
70	3	2189.5	1925
70	4	2192.5	1845
70	5	2192.5	1890.5
70	6	2192.5	1922.5
70	7	2192.5	1925
70	8	2194.5	1845
70	9	2194.5	1890.5
70	10	2194.5	1922.5
70	11	2194.5	1925
70	12	2222	1890.5
70	13	2222	1922.5
70	14	2222	1925
70	15	2222	1947
70	16	2222	1951.5
70	17	2227	1890.5
70	18	2227	1922.5
70	19	2227	1925
70	20	2227	1947
70	21	2227	1951.5
70	22	2237	1890.5
70	23	2237	1922.5
70	24	2237	1925
70	25	2237	1947
70	26	2237	1951.5
70	27	2270	1890.5
70	28	2270	1922.5
70	29	2270	1925
70	30	2270	1947
70	31	2270	1951.5
70	32	2270	1978.5
71	0	831	966
71	1	831	977
71	2	831	996.5
71	3	831	1028.5
71	4	831	1044.5
71	5	838	966
71	6	838	977
71	7	838	996.5
71	8	838	1028.5
71	9	838	1044.5
71	10	844.5	966
71	11	844.5	977
71	12	844.5	996.5
71	13	844.5	1028.5
71	14	844.5	1044.5
71	15	844.5	1068
71	16	874	996.5
71	17	874	1028.5
71	18	874	1044.5
71	19	874	1068
71	20	874	1074.5
71	21	889	996.5
71	22	889	1028.5
71	23	889	1044.5
71	24	889	1068
71	25	889	1074.5
71	26	903.5	1028.5
71	27	903.5	1044.5
71	28	903.5	1068
71	29	903.5	1074.5
71	30	903.5	1106
71	31	917	1028.5
