event_id nfired_ustrips_inroi nfired_vstrips_inroi roi_ustrip_min roi_ustrip_max roi_vstrip_min roi_vstrip_max roi_u_width roi_v_width
101 81 65 1094.00000000 1244.00000000 911.00000000 1124.00000000 150.00000000 213.00000000
102 72 163 409.00000000 746.00000000 693.00000000 1311.00000000 337.00000000 618.00000000
103 49 88 794.00000000 944.00000000 1062.00000000 1274.00000000 150.00000000 212.00000000
104 30 122 389.00000000 733.00000000 619.00000000 1249.00000000 344.00000000 630.00000000
105 88 62 3493.00000000 3849.00000000 2766.00000000 3113.00000000 356.00000000 347.00000000
106 65 97 1322.00000000 1472.00000000 991.00000000 1203.00000000 150.00000000 212.00000000
107 56 78 2625.00000000 2775.00000000 2355.00000000 2567.00000000 150.00000000 212.00000000
108 44 89 2647.00000000 2797.00000000 2227.00000000 2439.00000000 150.00000000 212.00000000
109 42 73 2989.00000000 3139.00000000 2560.00000000 2772.00000000 150.00000000 212.00000000
110 34 87 1320.00000000 1470.00000000 1459.00000000 1671.00000000 150.00000000 212.00000000
111 110 70 1006.00000000 1156.00000000 684.00000000 896.00000000 150.00000000 212.00000000
112 55 64 3434.00000000 3584.00000000 2735.00000000 2947.00000000 150.00000000 212.00000000
113 27 90 2777.00000000 2927.00000000 2031.00000000 2243.00000000 150.00000000 212.00000000
114 56 88 1869.00000000 2019.00000000 1750.00000000 1962.00000000 150.00000000 212.00000000
115 12 79 3424.00000000 3574.00000000 2407.00000000 2619.00000000 150.00000000 212.00000000
116 27 94 3212.00000000 3362.00000000 2602.00000000 2814.00000000 150.00000000 212.00000000
117 41 67 1306.00000000 1456.00000000 1422.00000000 1635.00000000 150.00000000 213.00000000
118 32 93 1478.00000000 1628.00000000 1438.00000000 1650.00000000 150.00000000 212.00000000
119 50 88 871.00000000 1021.00000000 1075.00000000 1287.00000000 150.00000000 212.00000000
120 92 124 2674.00000000 2910.00000000 2426.00000000 2829.00000000 236.00000000 403.00000000
121 43 57 2787.00000000 2937.00000000 2543.00000000 2755.00000000 150.00000000 212.00000000
122 74 80 2985.00000000 3135.00000000 2448.00000000 2660.00000000 150.00000000 212.00000000
123 41 115 2029.00000000 2179.00000000 1576.00000000 1788.00000000 150.00000000 212.00000000
124 51 80 895.00000000 1045.00000000 1156.00000000 1368.00000000 150.00000000 212.00000000
125 45 183 2238.00000000 2409.00000000 1453.00000000 1977.00000000 171.00000000 524.00000000
126 47 119 1943.00000000 2093.00000000 1416.00000000 1628.00000000 150.00000000 212.00000000
127 64 70 2578.00000000 2728.00000000 2412.00000000 2624.00000000 150.00000000 212.00000000
128 381 556 2525.00000000 3967.00000000 1715.00000000 3455.00000000 1442.00000000 1740.00000000
129 77 246 422.00000000 765.00000000 599.00000000 1233.00000000 343.00000000 634.00000000
130 20 69 1230.00000000 1380.00000000 1097.00000000 1309.00000000 150.00000000 212.00000000
