event_id,roi_ustrip_min,roi_ustrip_max,roi_vstrip_min,roi_vstrip_max,roi_u_width,roi_v_width,n_u_entries_inside_roi,n_v_entries_inside_roi,n_u_unique_inside_roi,n_v_unique_inside_roi,n_u_adcpos_entries_inside_roi,n_v_adcpos_entries_inside_roi,n_u_unique_adcpos_inside_roi,n_v_unique_adcpos_inside_roi,n_uv_entries_inside_roi,n_uv_unique_inside_roi,n_uv_adcpos_entries_inside_roi,n_uv_unique_adcpos_inside_roi
10900,2136.0,2301.0,1933.0,2399.0,166.0,467.0,99,226,99,226,99,226,99,226,325,325,325,325
10901,1989.0,2139.0,1946.0,2159.0,151.0,214.0,46,99,46,99,46,99,46,99,145,145,145,145
10903,2500.0,2650.0,1952.0,2164.0,151.0,213.0,66,73,66,73,66,73,66,73,139,139,139,139
10905,1042.0,1192.0,850.0,1062.0,151.0,213.0,119,107,119,107,119,107,119,107,226,226,226,226
10908,1535.0,1685.0,1539.0,1751.0,151.0,213.0,50,124,50,124,50,124,50,124,174,174,174,174
10911,1893.0,2043.0,1413.0,1625.0,151.0,213.0,53,93,53,93,53,93,53,93,146,146,146,146
10912,1863.0,2013.0,1512.0,1724.0,151.0,213.0,83,94,83,94,83,94,83,94,177,177,177,177
10924,3324.0,3474.0,2927.0,3139.0,151.0,213.0,62,90,62,90,62,90,62,90,152,152,152,152
10925,961.0,1111.0,1120.0,1332.0,151.0,213.0,102,91,102,91,102,91,102,91,193,193,193,193
10926,730.0,1035.0,849.0,1451.0,306.0,603.0,54,271,54,271,54,271,54,271,325,325,325,325
10934,2219.0,2369.0,1693.0,1906.0,151.0,214.0,59,100,59,100,59,100,59,100,159,159,159,159
10939,3070.0,3220.0,2197.0,2409.0,151.0,213.0,46,68,46,68,46,68,46,68,114,114,114,114
10941,397.0,744.0,571.0,1209.0,348.0,639.0,108,240,108,240,108,240,108,240,348,348,348,348
10945,932.0,1082.0,1034.0,1246.0,151.0,213.0,79,91,79,91,79,91,79,91,170,170,170,170
10946,1745.0,1895.0,1588.0,1800.0,151.0,213.0,41,90,41,90,41,90,41,90,131,131,131,131
10947,1786.0,1936.0,1738.0,1950.0,151.0,213.0,47,99,47,99,47,99,47,99,146,146,146,146
10948,1162.0,1417.0,1137.0,1704.0,256.0,568.0,83,199,83,199,83,199,83,199,282,282,282,282
10952,1820.0,1970.0,1659.0,1871.0,151.0,213.0,71,71,71,71,71,71,71,71,142,142,142,142
10954,1133.0,1401.0,915.0,1515.0,269.0,601.0,66,167,66,167,66,167,66,167,233,233,233,233
10957,2081.0,2231.0,1616.0,1828.0,151.0,213.0,41,79,41,79,41,79,41,79,120,120,120,120
10958,766.0,1060.0,997.0,1577.0,295.0,581.0,99,218,99,218,99,218,99,218,317,317,317,317
10965,1145.0,1295.0,1277.0,1490.0,151.0,214.0,49,50,49,50,49,50,49,50,99,99,99,99
10967,2632.0,2782.0,2273.0,2485.0,151.0,213.0,20,63,20,63,20,63,20,63,83,83,83,83
10969,1760.0,1910.0,1595.0,1807.0,151.0,213.0,30,65,30,65,30,65,30,65,95,95,95,95
10970,2031.0,2181.0,2036.0,2248.0,151.0,213.0,39,116,39,116,39,116,39,116,155,155,155,155
10971,1662.0,1812.0,1544.0,1757.0,151.0,214.0,91,96,91,96,91,96,91,96,187,187,187,187
10972,1296.0,1446.0,1016.0,1228.0,151.0,213.0,60,100,60,100,60,100,60,100,160,160,160,160
10975,3652.0,3802.0,2850.0,3062.0,151.0,213.0,26,55,26,55,26,55,26,55,81,81,81,81
10978,3090.0,3240.0,2565.0,2777.0,151.0,213.0,64,108,64,108,64,108,64,108,172,172,172,172
10987,2980.0,3130.0,2179.0,2391.0,151.0,213.0,36,102,36,102,36,102,36,102,138,138,138,138
10989,3188.0,3338.0,2166.0,2378.0,151.0,213.0,44,83,44,83,44,83,44,83,127,127,127,127
10991,2868.0,3018.0,2513.0,2725.0,151.0,213.0,59,95,59,95,59,95,59,95,154,154,154,154
10998,1603.0,1753.0,1177.0,1389.0,151.0,213.0,33,91,33,91,33,91,33,91,124,124,124,124
10999,1345.0,1495.0,1529.0,1741.0,151.0,213.0,62,57,62,57,62,57,62,57,119,119,119,119
11000,1555.0,1705.0,1589.0,1802.0,151.0,214.0,40,73,40,73,40,73,40,73,113,113,113,113
11002,2620.0,2770.0,2060.0,2273.0,151.0,214.0,28,64,28,64,28,64,28,64,92,92,92,92
11004,3005.0,3155.0,2584.0,2796.0,151.0,213.0,45,78,45,78,45,78,45,78,123,123,123,123
11007,2989.0,3139.0,2391.0,2603.0,151.0,213.0,83,82,83,82,83,82,83,82,165,165,165,165
11013,2223.0,2373.0,2084.0,2297.0,151.0,214.0,27,52,27,52,27,52,27,52,79,79,79,79
11014,1637.0,1787.0,1688.0,1900.0,151.0,213.0,17,73,17,73,17,73,17,73,90,90,90,90
11017,2835.0,2985.0,2409.0,2621.0,151.0,213.0,30,74,30,74,30,74,30,74,104,104,104,104
11018,720.0,870.0,1049.0,1261.0,151.0,213.0,27,95,27,95,27,95,27,95,122,122,122,122
11021,1822.0,1972.0,1549.0,1762.0,151.0,214.0,28,101,28,101,28,101,28,101,129,129,129,129
11023,2081.0,2231.0,1844.0,2056.0,151.0,213.0,66,85,66,85,66,85,66,85,151,151,151,151
11024,999.0,1149.0,1070.0,1282.0,151.0,213.0,77,89,77,89,77,89,77,89,166,166,166,166
11027,2197.0,2362.0,1434.0,1962.0,166.0,529.0,56,174,56,174,56,174,56,174,230,230,230,230
11030,993.0,1143.0,681.0,893.0,151.0,213.0,120,87,120,87,120,87,120,87,207,207,207,207
11032,3367.0,3517.0,2364.0,2576.0,151.0,213.0,78,84,78,84,78,84,78,84,162,162,162,162
11038,1101.0,1251.0,1146.0,1358.0,151.0,213.0,84,53,84,53,84,53,84,53,137,137,137,137
11044,1884.0,2034.0,1520.0,1732.0,151.0,213.0,33,119,33,119,33,119,33,119,152,152,152,152
11046,2403.0,2553.0,2083.0,2295.0,151.0,213.0,39,76,39,76,39,76,39,76,115,115,115,115
11052,3179.0,3329.0,2720.0,2932.0,151.0,213.0,57,96,57,96,57,96,57,96,153,153,153,153
11053,878.0,1028.0,912.0,1124.0,151.0,213.0,71,134,71,134,71,134,71,134,205,205,205,205
11054,2631.0,2781.0,2331.0,2543.0,151.0,213.0,61,72,61,72,61,72,61,72,133,133,133,133
11055,2276.0,2426.0,1796.0,2008.0,151.0,213.0,30,62,30,62,30,62,30,62,92,92,92,92
11057,1474.0,1624.0,1278.0,1490.0,151.0,213.0,18,83,18,83,18,83,18,83,101,101,101,101
11059,2777.0,2927.0,2377.0,2589.0,151.0,213.0,35,111,35,111,35,111,35,111,146,146,146,146
11066,1410.0,1560.0,1349.0,1561.0,151.0,213.0,48,64,48,64,48,64,48,64,112,112,112,112
11075,1666.0,1816.0,1582.0,1794.0,151.0,213.0,65,129,65,129,65,129,65,129,194,194,194,194
11080,3287.0,3437.0,2591.0,2803.0,151.0,213.0,12,72,12,72,12,72,12,72,84,84,84,84
11081,2565.0,2715.0,2108.0,2320.0,151.0,213.0,65,87,65,87,65,87,65,87,152,152,152,152
11083,1358.0,1508.0,1435.0,1647.0,151.0,213.0,57,80,57,80,57,80,57,80,137,137,137,137
11084,820.0,970.0,901.0,1113.0,151.0,213.0,74,89,74,89,74,89,74,89,163,163,163,163
11086,3540.0,3690.0,2735.0,2947.0,151.0,213.0,56,65,56,65,56,65,56,65,121,121,121,121
11091,3572.0,3933.0,2959.0,3286.0,362.0,328.0,108,83,108,83,108,83,108,83,191,191,191,191
11096,3125.0,3275.0,2694.0,2906.0,151.0,213.0,42,44,42,44,42,44,42,44,86,86,86,86
11101,3442.0,3592.0,2673.0,2885.0,151.0,213.0,43,102,43,102,43,102,43,102,145,145,145,145
11108,2358.0,2508.0,1597.0,1810.0,151.0,214.0,71,95,71,95,71,95,71,95,166,166,166,166
11110,879.0,1029.0,1032.0,1244.0,151.0,213.0,38,73,38,73,38,73,38,73,111,111,111,111
11111,2933.0,3083.0,2472.0,2684.0,151.0,213.0,39,53,39,53,39,53,39,53,92,92,92,92
11113,940.0,1090.0,1024.0,1236.0,151.0,213.0,76,89,76,89,76,89,76,89,165,165,165,165
11116,3362.0,3512.0,2759.0,2971.0,151.0,213.0,19,35,19,35,19,35,19,35,54,54,54,54
11119,548.0,698.0,524.0,736.0,151.0,213.0,29,36,29,36,29,36,29,36,65,65,65,65
11120,2254.0,2404.0,2052.0,2264.0,151.0,213.0,74,118,74,118,74,118,74,118,192,192,192,192
11122,268.0,626.0,538.0,1177.0,359.0,640.0,71,158,71,158,71,158,71,158,229,229,229,229
11123,268.0,626.0,538.0,1177.0,359.0,640.0,55,147,55,147,55,147,55,147,202,202,202,202
11124,852.0,1002.0,1122.0,1335.0,151.0,214.0,39,107,39,107,39,107,39,107,146,146,146,146
11128,2447.0,2597.0,1995.0,2207.0,151.0,213.0,54,76,54,76,54,76,54,76,130,130,130,130
11131,3023.0,3173.0,2632.0,2844.0,151.0,213.0,70,89,70,89,70,89,70,89,159,159,159,159
11132,2348.0,2498.0,1884.0,2096.0,151.0,213.0,40,91,40,91,40,91,40,91,131,131,131,131
11133,662.0,971.0,865.0,1463.0,310.0,599.0,90,168,90,168,90,168,90,168,258,258,258,258
11134,1507.0,1657.0,1090.0,1302.0,151.0,213.0,24,77,24,77,24,77,24,77,101,101,101,101
11135,1392.0,1542.0,1421.0,1633.0,151.0,213.0,36,97,36,97,36,97,36,97,133,133,133,133
11139,2674.0,2824.0,2420.0,2633.0,151.0,214.0,48,98,48,98,48,98,48,98,146,146,146,146
11140,1438.0,1588.0,1485.0,1697.0,151.0,213.0,39,93,39,93,39,93,39,93,132,132,132,132
11143,2426.0,2576.0,2161.0,2373.0,151.0,213.0,68,71,68,71,68,71,68,71,139,139,139,139
11144,2722.0,2872.0,2311.0,2524.0,151.0,214.0,58,99,58,99,58,99,58,99,157,157,157,157
11146,3305.0,3455.0,2824.0,3036.0,151.0,213.0,37,79,37,79,37,79,37,79,116,116,116,116
11149,3505.0,3655.0,2829.0,3041.0,151.0,213.0,37,98,37,98,37,98,37,98,135,135,135,135
11155,2385.0,2535.0,1806.0,2018.0,151.0,213.0,21,74,21,74,21,74,21,74,95,95,95,95
11159,1456.0,1606.0,1404.0,1616.0,151.0,213.0,61,80,61,80,61,80,61,80,141,141,141,141
11160,1670.0,1820.0,1421.0,1633.0,151.0,213.0,57,89,57,89,57,89,57,89,146,146,146,146
11164,1321.0,1471.0,1435.0,1647.0,151.0,213.0,32,74,32,74,32,74,32,74,106,106,106,106
11166,1740.0,1927.0,1513.0,2033.0,188.0,521.0,63,169,63,169,63,169,63,169,232,232,232,232
11168,3178.0,3328.0,2583.0,2795.0,151.0,213.0,39,93,39,93,39,93,39,93,132,132,132,132
11170,1638.0,1788.0,1627.0,1839.0,151.0,213.0,39,62,39,62,39,62,39,62,101,101,101,101
11171,1518.0,1668.0,1429.0,1641.0,151.0,213.0,72,90,72,90,72,90,72,90,162,162,162,162
11172,1551.0,1701.0,1492.0,1704.0,151.0,213.0,35,92,35,92,35,92,35,92,127,127,127,127
11174,1021.0,1171.0,1103.0,1315.0,151.0,213.0,129,48,129,48,129,48,129,48,177,177,177,177
11176,3137.0,3287.0,2555.0,2767.0,151.0,213.0,48,107,48,107,48,107,48,107,155,155,155,155
11177,3513.0,3865.0,2938.0,3269.0,353.0,332.0,107,54,107,54,107,54,107,54,161,161,161,161
11179,1572.0,1722.0,1623.0,1836.0,151.0,214.0,67,77,67,77,67,77,67,77,144,144,144,144
