event_id,roi_ustrip_min,roi_ustrip_max,roi_vstrip_min,roi_vstrip_max,roi_u_width,roi_v_width,n_u_entries_inside_roi,n_v_entries_inside_roi,n_u_unique_inside_roi,n_v_unique_inside_roi,n_u_adcpos_entries_inside_roi,n_v_adcpos_entries_inside_roi,n_u_unique_adcpos_inside_roi,n_v_unique_adcpos_inside_roi,n_uv_entries_inside_roi,n_uv_unique_inside_roi,n_uv_adcpos_entries_inside_roi,n_uv_unique_adcpos_inside_roi
10488,1190.0,1340.0,1250.0,1462.0,151.0,213.0,27,98,27,98,27,98,27,98,125,125,125,125
10496,1402.0,1552.0,1440.0,1652.0,151.0,213.0,52,69,52,69,52,69,52,69,121,121,121,121
10499,1334.0,1484.0,1488.0,1700.0,151.0,213.0,62,85,62,85,62,85,62,85,147,147,147,147
10501,3224.0,3374.0,2292.0,2504.0,151.0,213.0,41,127,41,127,41,127,41,127,168,168,168,168
10502,950.0,1230.0,988.0,1574.0,281.0,587.0,162,254,162,254,162,254,162,254,416,416,416,416
10504,1946.0,2096.0,1633.0,1845.0,151.0,213.0,29,74,29,74,29,74,29,74,103,103,103,103
10517,3154.0,3304.0,2375.0,2587.0,151.0,213.0,57,76,57,76,57,76,57,76,133,133,133,133
10518,467.0,813.0,501.0,1153.0,347.0,653.0,92,272,92,272,92,272,92,272,364,364,364,364
10520,1698.0,1848.0,1317.0,1529.0,151.0,213.0,11,77,11,77,11,77,11,77,88,88,88,88
10524,2702.0,2852.0,2224.0,2437.0,151.0,214.0,59,72,59,72,59,72,59,72,131,131,131,131
10526,1232.0,1382.0,1209.0,1421.0,151.0,213.0,30,61,30,61,30,61,30,61,91,91,91,91
10528,2929.0,3079.0,2449.0,2662.0,151.0,214.0,82,82,82,82,82,82,82,82,164,164,164,164
10529,2878.0,3028.0,2445.0,2657.0,151.0,213.0,35,69,35,69,35,69,35,69,104,104,104,104
10530,1201.0,1351.0,1279.0,1491.0,151.0,213.0,43,89,43,89,43,89,43,89,132,132,132,132
10534,3183.0,3333.0,2799.0,3011.0,151.0,213.0,71,81,71,81,71,81,71,81,152,152,152,152
10535,2924.0,3074.0,2308.0,2520.0,151.0,213.0,70,88,70,88,70,88,70,88,158,158,158,158
10540,2841.0,3099.0,2536.0,2924.0,259.0,389.0,122,103,122,103,122,103,122,103,225,225,225,225
10543,2123.0,2273.0,2004.0,2216.0,151.0,213.0,64,89,64,89,64,89,64,89,153,153,153,153
10545,2362.0,2512.0,1944.0,2156.0,151.0,213.0,44,104,44,104,44,104,44,104,148,148,148,148
10549,2596.0,2746.0,2335.0,2547.0,151.0,213.0,36,126,36,126,36,126,36,126,162,162,162,162
10552,2798.0,2948.0,2061.0,2274.0,151.0,214.0,59,92,59,92,59,92,59,92,151,151,151,151
10554,2451.0,2601.0,2141.0,2354.0,151.0,214.0,53,130,53,130,53,130,53,130,183,183,183,183
10555,2619.0,2769.0,2213.0,2425.0,151.0,213.0,46,86,46,86,46,86,46,86,132,132,132,132
10557,3300.0,3450.0,2640.0,2852.0,151.0,213.0,40,79,40,79,40,79,40,79,119,119,119,119
10559,3366.0,3516.0,2967.0,3179.0,151.0,213.0,35,67,35,67,35,67,35,67,102,102,102,102
10562,2733.0,2979.0,2144.0,2578.0,247.0,435.0,126,151,126,151,126,151,126,151,277,277,277,277
10567,1335.0,1485.0,1520.0,1732.0,151.0,213.0,82,121,82,121,82,121,82,121,203,203,203,203
10570,1809.0,1959.0,1335.0,1547.0,151.0,213.0,46,72,46,72,46,72,46,72,118,118,118,118
10574,3321.0,3471.0,2758.0,2970.0,151.0,213.0,55,85,55,85,55,85,55,85,140,140,140,140
10575,2129.0,2279.0,1557.0,1769.0,151.0,213.0,49,93,49,93,49,93,49,93,142,142,142,142
10576,3318.0,3468.0,2624.0,2836.0,151.0,213.0,50,88,50,88,50,88,50,88,138,138,138,138
10578,3330.0,3480.0,2879.0,3091.0,151.0,213.0,54,53,54,53,54,53,54,53,107,107,107,107
10580,2758.0,3008.0,2126.0,2561.0,251.0,436.0,95,162,95,162,95,162,95,162,257,257,257,257
10582,3275.0,3425.0,2941.0,3153.0,151.0,213.0,36,85,36,85,36,85,36,85,121,121,121,121
10589,958.0,1249.0,770.0,1389.0,292.0,620.0,107,219,107,219,107,219,107,219,326,326,326,326
10591,1622.0,1772.0,1562.0,1774.0,151.0,213.0,11,54,11,54,11,54,11,54,65,65,65,65
10596,717.0,867.0,978.0,1190.0,151.0,213.0,37,70,37,70,37,70,37,70,107,107,107,107
10597,996.0,1146.0,1103.0,1316.0,151.0,214.0,129,69,129,69,129,69,129,69,198,198,198,198
10600,2229.0,2379.0,2083.0,2295.0,151.0,213.0,32,108,32,108,32,108,32,108,140,140,140,140
10603,1750.0,1900.0,1760.0,1972.0,151.0,213.0,55,63,55,63,55,63,55,63,118,118,118,118
10605,619.0,769.0,959.0,1171.0,151.0,213.0,89,89,89,89,89,89,89,89,178,178,178,178
10608,2466.0,2616.0,1698.0,1910.0,151.0,213.0,30,120,30,120,30,120,30,120,150,150,150,150
10611,2206.0,2356.0,1740.0,1952.0,151.0,213.0,18,59,18,59,18,59,18,59,77,77,77,77
10615,913.0,1063.0,1161.0,1373.0,151.0,213.0,65,120,65,120,65,120,65,120,185,185,185,185
10616,2070.0,2220.0,1984.0,2197.0,151.0,214.0,40,79,40,79,40,79,40,79,119,119,119,119
10617,2535.0,2685.0,2137.0,2349.0,151.0,213.0,52,154,52,154,52,154,52,154,206,206,206,206
10618,3109.0,3259.0,2780.0,2992.0,151.0,213.0,37,38,37,38,37,38,37,38,75,75,75,75
10619,1290.0,1440.0,1290.0,1502.0,151.0,213.0,59,104,59,104,59,104,59,104,163,163,163,163
10621,3290.0,3608.0,2866.0,3211.0,319.0,346.0,109,70,109,70,109,70,109,70,179,179,179,179
10626,351.0,728.0,165.0,869.0,378.0,705.0,47,148,47,148,47,148,47,148,195,195,195,195
10634,1430.0,1580.0,1597.0,1809.0,151.0,213.0,63,97,63,97,63,97,63,97,160,160,160,160
10635,1332.0,1482.0,1021.0,1233.0,151.0,213.0,48,76,48,76,48,76,48,76,124,124,124,124
10636,3027.0,3177.0,2374.0,2586.0,151.0,213.0,38,82,38,82,38,82,38,82,120,120,120,120
10642,3007.0,3157.0,2430.0,2642.0,151.0,213.0,75,62,75,62,75,62,75,62,137,137,137,137
10648,2368.0,2559.0,1607.0,2110.0,192.0,504.0,63,194,63,194,63,194,63,194,257,257,257,257
10650,2013.0,2163.0,1938.0,2150.0,151.0,213.0,31,56,31,56,31,56,31,56,87,87,87,87
10657,860.0,1010.0,952.0,1164.0,151.0,213.0,44,40,44,40,44,40,44,40,84,84,84,84
10658,3555.0,3705.0,3015.0,3227.0,151.0,213.0,41,63,41,63,41,63,41,63,104,104,104,104
10663,2048.0,2198.0,1894.0,2106.0,151.0,213.0,70,86,70,86,70,86,70,86,156,156,156,156
10667,470.0,819.0,455.0,1115.0,350.0,661.0,110,185,110,185,110,185,110,185,295,295,295,295
10671,2763.0,2913.0,2340.0,2552.0,151.0,213.0,43,99,43,99,43,99,43,99,142,142,142,142
10675,3375.0,3525.0,2819.0,3032.0,151.0,214.0,27,44,27,44,27,44,27,44,71,71,71,71
10678,655.0,805.0,917.0,1129.0,151.0,213.0,30,54,30,54,30,54,30,54,84,84,84,84
10682,1504.0,1654.0,1415.0,1627.0,151.0,213.0,46,116,46,116,46,116,46,116,162,162,162,162
10683,2089.0,2239.0,1651.0,1863.0,151.0,213.0,76,116,76,116,76,116,76,116,192,192,192,192
10685,1018.0,1168.0,1154.0,1366.0,151.0,213.0,32,101,32,101,32,101,32,101,133,133,133,133
10691,3201.0,3351.0,2550.0,2762.0,151.0,213.0,46,100,46,100,46,100,46,100,146,146,146,146
10692,1208.0,1358.0,908.0,1120.0,151.0,213.0,75,70,75,70,75,70,75,70,145,145,145,145
10693,2985.0,3135.0,2586.0,2798.0,151.0,213.0,51,82,51,82,51,82,51,82,133,133,133,133
10694,1613.0,1763.0,1166.0,1379.0,151.0,214.0,54,102,54,102,54,102,54,102,156,156,156,156
10696,3222.0,3372.0,2523.0,2736.0,151.0,214.0,53,77,53,77,53,77,53,77,130,130,130,130
10699,717.0,867.0,665.0,877.0,151.0,213.0,41,46,41,46,41,46,41,46,87,87,87,87
10702,2957.0,3107.0,2595.0,2807.0,151.0,213.0,56,77,56,77,56,77,56,77,133,133,133,133
10703,1682.0,1887.0,1073.0,1653.0,206.0,581.0,42,220,42,220,42,220,42,220,262,262,262,262
10709,2229.0,2379.0,1507.0,1720.0,151.0,214.0,26,81,26,81,26,81,26,81,107,107,107,107
10710,664.0,814.0,583.0,795.0,151.0,213.0,29,81,29,81,29,81,29,81,110,110,110,110
10712,1171.0,1321.0,1354.0,1566.0,151.0,213.0,22,105,22,105,22,105,22,105,127,127,127,127
10716,2739.0,2889.0,2372.0,2584.0,151.0,213.0,47,76,47,76,47,76,47,76,123,123,123,123
10725,1189.0,1339.0,1408.0,1620.0,151.0,213.0,24,42,24,42,24,42,24,42,66,66,66,66
10731,523.0,866.0,486.0,1141.0,344.0,656.0,85,192,85,192,85,192,85,192,277,277,277,277
10742,2186.0,2336.0,1805.0,2017.0,151.0,213.0,39,108,39,108,39,108,39,108,147,147,147,147
10744,771.0,921.0,642.0,855.0,151.0,214.0,53,63,53,63,53,63,53,63,116,116,116,116
10746,3173.0,3323.0,2634.0,2846.0,151.0,213.0,40,78,40,78,40,78,40,78,118,118,118,118
10748,2269.0,2419.0,1813.0,2025.0,151.0,213.0,65,112,65,112,65,112,65,112,177,177,177,177
10750,1058.0,1328.0,1006.0,1591.0,271.0,586.0,98,190,98,190,98,190,98,190,288,288,288,288
10752,2085.0,2235.0,1659.0,1871.0,151.0,213.0,37,73,37,73,37,73,37,73,110,110,110,110
10756,1391.0,1541.0,1144.0,1356.0,151.0,213.0,69,101,69,101,69,101,69,101,170,170,170,170
10757,1417.0,1567.0,1453.0,1665.0,151.0,213.0,40,79,40,79,40,79,40,79,119,119,119,119
10758,2592.0,2742.0,2560.0,2772.0,151.0,213.0,71,79,71,79,71,79,71,79,150,150,150,150
10760,2386.0,2536.0,2106.0,2318.0,151.0,213.0,15,121,15,121,15,121,15,121,136,136,136,136
10761,1613.0,1763.0,1204.0,1417.0,151.0,214.0,48,60,48,60,48,60,48,60,108,108,108,108
10763,2458.0,2666.0,2255.0,2680.0,209.0,426.0,84,173,84,173,84,173,84,173,257,257,257,257
10768,2393.0,2543.0,1705.0,1917.0,151.0,213.0,74,87,74,87,74,87,74,87,161,161,161,161
10769,1794.0,1944.0,1543.0,1755.0,151.0,213.0,22,107,22,107,22,107,22,107,129,129,129,129
10776,2940.0,3090.0,2559.0,2772.0,151.0,214.0,88,78,88,78,88,78,88,78,166,166,166,166
10783,754.0,904.0,1035.0,1247.0,151.0,213.0,64,98,64,98,64,98,64,98,162,162,162,162
10784,1058.0,1208.0,761.0,973.0,151.0,213.0,94,50,94,50,94,50,94,50,144,144,144,144
10791,2776.0,2926.0,2505.0,2717.0,151.0,213.0,18,73,18,73,18,73,18,73,91,91,91,91
10796,325.0,697.0,276.0,961.0,373.0,686.0,55,124,55,124,55,124,55,124,179,179,179,179
10801,1154.0,1304.0,1343.0,1555.0,151.0,213.0,47,109,47,109,47,109,47,109,156,156,156,156
10803,1837.0,1987.0,1730.0,1942.0,151.0,213.0,45,68,45,68,45,68,45,68,113,113,113,113
10806,1177.0,1451.0,687.0,1321.0,275.0,635.0,33,167,33,167,33,167,33,167,200,200,200,200
10807,3469.0,3619.0,2884.0,3097.0,151.0,214.0,59,108,59,108,59,108,59,108,167,167,167,167
10809,1814.0,1964.0,1648.0,1860.0,151.0,213.0,34,62,34,62,34,62,34,62,96,96,96,96
10810,798.0,1099.0,817.0,1427.0,302.0,611.0,111,178,111,178,111,178,111,178,289,289,289,289
10813,1945.0,2095.0,1356.0,1568.0,151.0,213.0,55,113,55,113,55,113,55,113,168,168,168,168
10814,2489.0,2639.0,2159.0,2371.0,151.0,213.0,59,70,59,70,59,70,59,70,129,129,129,129
10815,2062.0,2212.0,1767.0,1979.0,151.0,213.0,42,112,42,112,42,112,42,112,154,154,154,154
10817,1379.0,1529.0,1093.0,1305.0,151.0,213.0,50,84,50,84,50,84,50,84,134,134,134,134
10818,835.0,985.0,1119.0,1331.0,151.0,213.0,53,72,53,72,53,72,53,72,125,125,125,125
10826,2877.0,3027.0,2254.0,2466.0,151.0,213.0,21,109,21,109,21,109,21,109,130,130,130,130
10827,2857.0,3007.0,2536.0,2748.0,151.0,213.0,65,103,65,103,65,103,65,103,168,168,168,168
10831,983.0,1254.0,1121.0,1687.0,272.0,567.0,177,186,177,186,177,186,177,186,363,363,363,363
10832,782.0,1089.0,730.0,1352.0,308.0,623.0,140,203,140,203,140,203,140,203,343,343,343,343
10834,3255.0,3405.0,2213.0,2425.0,151.0,213.0,69,102,69,102,69,102,69,102,171,171,171,171
10835,1970.0,2120.0,1573.0,1786.0,151.0,214.0,36,53,36,53,36,53,36,53,89,89,89,89
10836,800.0,950.0,602.0,814.0,151.0,213.0,57,25,57,25,57,25,57,25,82,82,82,82
10841,572.0,908.0,537.0,1185.0,337.0,649.0,76,193,76,193,76,193,76,193,269,269,269,269
10845,3070.0,3220.0,2815.0,3027.0,151.0,213.0,66,48,66,48,66,48,66,48,114,114,114,114
10847,3458.0,3608.0,2735.0,2947.0,151.0,213.0,35,76,35,76,35,76,35,76,111,111,111,111
10849,2280.0,2430.0,1598.0,1810.0,151.0,213.0,37,40,37,40,37,40,37,40,77,77,77,77
10851,2778.0,2928.0,2451.0,2664.0,151.0,214.0,18,59,18,59,18,59,18,59,77,77,77,77
10852,2013.0,2163.0,1627.0,1840.0,151.0,214.0,60,48,60,48,60,48,60,48,108,108,108,108
10853,2537.0,2756.0,2291.0,2711.0,220.0,421.0,106,137,106,137,106,137,106,137,243,243,243,243
10856,1567.0,1717.0,1609.0,1821.0,151.0,213.0,48,90,48,90,48,90,48,90,138,138,138,138
10857,2879.0,3029.0,2355.0,2567.0,151.0,213.0,28,56,28,56,28,56,28,56,84,84,84,84
10860,1102.0,1252.0,1347.0,1559.0,151.0,213.0,77,46,77,46,77,46,77,46,123,123,123,123
10861,1429.0,1579.0,938.0,1150.0,151.0,213.0,37,89,37,89,37,89,37,89,126,126,126,126
10867,1693.0,1843.0,1636.0,1849.0,151.0,214.0,21,75,21,75,21,75,21,75,96,96,96,96
10868,2048.0,2198.0,1951.0,2163.0,151.0,213.0,67,66,67,66,67,66,67,66,133,133,133,133
10870,2523.0,2673.0,1977.0,2189.0,151.0,213.0,45,103,45,103,45,103,45,103,148,148,148,148
10871,1034.0,1184.0,718.0,930.0,151.0,213.0,118,40,118,40,118,40,118,40,158,158,158,158
10874,420.0,794.0,139.0,849.0,375.0,711.0,64,85,64,85,64,85,64,85,149,149,149,149
10876,2437.0,2587.0,2094.0,2307.0,151.0,214.0,49,77,49,77,49,77,49,77,126,126,126,126
10877,535.0,685.0,854.0,1066.0,151.0,213.0,60,58,60,58,60,58,60,58,118,118,118,118
10880,1499.0,1649.0,1522.0,1734.0,151.0,213.0,91,136,91,136,91,136,91,136,227,227,227,227
10881,1118.0,1401.0,605.0,1251.0,284.0,647.0,58,211,58,211,58,211,58,211,269,269,269,269
10882,3289.0,3439.0,2710.0,2923.0,151.0,214.0,28,69,28,69,28,69,28,69,97,97,97,97
10888,1838.0,1988.0,1690.0,1902.0,151.0,213.0,50,47,50,47,50,47,50,47,97,97,97,97
10891,2378.0,2528.0,2179.0,2391.0,151.0,213.0,35,72,35,72,35,72,35,72,107,107,107,107
10894,1682.0,1832.0,1588.0,1801.0,151.0,214.0,72,69,72,69,72,69,72,69,141,141,141,141
10897,2957.0,3107.0,2168.0,2380.0,151.0,213.0,87,84,87,84,87,84,87,84,171,171,171,171
10899,682.0,832.0,845.0,1057.0,151.0,213.0,20,28,20,28,20,28,20,28,48,48,48,48
